Original,Filtered
-0.325,-0.325
-0.27303848,-0.27303848
-0.26803848,-0.26803848
-0.32,-0.32
-0.39196152,-0.39196152
-0.39696152,-0.39696152
-0.34,-0.34
-0.26303848,-0.26303848
-0.25803848,-0.25803848
-0.315,-0.315
-0.39196152,-0.39196152
-0.40696152,-0.40696152
-0.355,-0.355
-0.28303848,-0.28303848
-0.27303848,-0.27303848
-0.305,-0.305
-0.35696152,-0.35696152
-0.38696152,-0.38696152
-0.35,-0.35
-0.31803848,-0.31803848
-0.31303848,-0.31303848
-0.35,-0.35
-0.40696152,-0.40696152
-0.41696152,-0.41696152
-0.38,-0.38
-0.31803848,-0.31803848
-0.30303848,-0.30303848
-0.325,-0.325
-0.37196152,-0.37196152
-0.37196152,-0.37196152
-0.345,-0.345
-0.31303848,-0.31303848
-0.32303848,-0.32303848
-0.36,-0.36
-0.40196152,-0.40196152
-0.40196152,-0.40196152
-0.37,-0.37
-0.31303848,-0.31303848
-0.31303848,-0.31303848
-0.35,-0.35
-0.39696152,-0.39696152
-0.41696152,-0.41696152
-0.385,-0.385
-0.33303848,-0.33303848
-0.31803848,-0.31803848
-0.35,-0.35
-0.42696152,-0.42696152
-0.44196152,-0.44196152
-0.385,-0.385
-0.33803848,-0.33803848
-0.32803848,-0.32803848
-0.405,-0.405
-0.46696152,-0.46696152
-0.47696152,-0.47696152
-0.385,-0.385
-0.30303848,-0.30303848
-0.29303848,-0.29303848
-0.36,-0.36
-0.42196152,-0.42196152
-0.44196152,-0.44196152
-0.395,-0.395
-0.32303848,-0.32303848
-0.30803848,-0.30803848
-0.355,-0.355
-0.40696152,-0.40696152
-0.40196152,-0.40196152
-0.36,-0.36
-0.31303848,-0.31303848
-0.29803848,-0.29803848
-0.325,-0.325
-0.34696152,-0.34696152
-0.35696152,-0.35696152
-0.335,-0.335
-0.29803848,-0.29803848
-0.29303848,-0.29303848
-0.32,-0.32
-0.35196152,-0.35196152
-0.33696152,-0.33696152
-0.285,-0.285
-0.23803848,-0.23803848
-0.22803848,-0.22803848
-0.23,-0.23
-0.28196152,-0.28196152
-0.29696152,-0.29696152
-0.26,-0.26
-0.21803848,-0.21803848
-0.20303848,-0.20303848
-0.26,-0.26
-0.29696152,-0.29696152
-0.32196152,-0.32196152
-0.265,-0.265
-0.21803848,-0.21803848
-0.19803848,-0.19803848
-0.22,-0.22
-0.26696152,-0.26696152
-0.30196152,-0.30196152
-0.28,-0.28
-0.26303848,-0.26303848
-0.27803848,-0.27803848
-0.33,-0.33
-0.40196152,-0.40196152
-0.39696152,-0.39696152
-0.375,-0.375
-0.33303848,-0.33303848
-0.32803848,-0.32803848
-0.35,-0.35
-0.39196152,-0.39196152
-0.38696152,-0.38696152
-0.34,-0.34
-0.31803848,-0.31803848
-0.33303848,-0.33303848
-0.38,-0.38
-0.42196152,-0.42196152
-0.40196152,-0.40196152
-0.355,-0.355
-0.31803848,-0.31803848
-0.32803848,-0.32803848
-0.385,-0.385
-0.43196152,-0.43196152
-0.44196152,-0.44196152
-0.39,-0.39
-0.33803848,-0.33803848
-0.33303848,-0.33303848
-0.38,-0.38
-0.45196152,-0.45196152
-0.45196152,-0.45196152
-0.4,-0.4
-0.35303848,-0.35303848
-0.39303848,-0.39303848
-0.465,-0.465
-0.50196152,-0.50196152
-0.50696152,-0.50696152
-0.49,-0.49
-0.52303848,-0.52303848
-0.57303848,-0.57303848
-0.62,-0.62
-0.62196152,-0.62196152
-0.53696152,-0.53696152
-0.375,-0.375
-0.17803848,-0.17803848
0.041961524,0.041961524
0.27,0.27
0.47803848,0.47803848
0.67803848,0.67803848
0.785,0.785
0.72696152,0.72696152
0.42196152,0.42196152
0.02,0.02
-0.34696152,-0.34696152
-0.51696152,-0.51696152
-0.515,-0.515
-0.46303848,-0.46303848
-0.42303848,-0.42303848
-0.435,-0.435
-0.45696152,-0.45696152
-0.45196152,-0.45196152
-0.405,-0.405
-0.34803848,-0.34803848
-0.31803848,-0.31803848
-0.35,-0.35
-0.38696152,-0.38696152
-0.40696152,-0.40696152
-0.365,-0.365
-0.31803848,-0.31803848
-0.31803848,-0.31803848
-0.375,-0.375
-0.45196152,-0.45196152
-0.45696152,-0.45696152
-0.385,-0.385
-0.31803848,-0.31803848
-0.28803848,-0.28803848
-0.34,-0.34
-0.39196152,-0.39196152
-0.40196152,-0.40196152
-0.345,-0.345
-0.30803848,-0.30803848
-0.32303848,-0.32303848
-0.37,-0.37
-0.39196152,-0.39196152
-0.38196152,-0.38196152
-0.35,-0.35
-0.29803848,-0.29803848
-0.28303848,-0.28303848
-0.33,-0.33
-0.37696152,-0.37696152
-0.38196152,-0.38196152
-0.34,-0.34
-0.28303848,-0.28303848
-0.28803848,-0.28803848
-0.365,-0.365
-0.44196152,-0.44196152
-0.42696152,-0.42696152
-0.35,-0.35
-0.29303848,-0.29303848
-0.27803848,-0.27803848
-0.315,-0.315
-0.36196152,-0.36196152
-0.39196152,-0.39196152
-0.37,-0.37
-0.33303848,-0.33303848
-0.31303848,-0.31303848
-0.36,-0.36
-0.41196152,-0.41196152
-0.39696152,-0.39696152
-0.315,-0.315
-0.24803848,-0.24803848
-0.22303848,-0.22303848
-0.285,-0.285
-0.34196152,-0.34196152
-0.34696152,-0.34696152
-0.315,-0.315
-0.26803848,-0.26803848
-0.26303848,-0.26303848
-0.305,-0.305
-0.35196152,-0.35196152
-0.37196152,-0.37196152
-0.325,-0.325
-0.26303848,-0.26303848
-0.22303848,-0.22303848
-0.27,-0.27
-0.34196152,-0.34196152
-0.36196152,-0.36196152
-0.3,-0.3
-0.23803848,-0.23803848
-0.22303848,-0.22303848
-0.275,-0.275
-0.33196152,-0.33196152
-0.35696152,-0.35696152
-0.34,-0.34
-0.29803848,-0.29803848
-0.28803848,-0.28803848
-0.33,-0.33
